supplementary_item	pipeline_stage	expected_pipeline_asset	notes
S1	public genome assembly/locus evidence	outputs/assembly_locus_evidence.tsv	Generated from BLAST/tblastn and coordinate inspection summaries.
S2	PRJNA746421 competitive mapping	outputs/mapping_locus_support.tsv	Generated by BWA/SAMtools mapping recipe and coverage summarization.
S3	positive control validation	outputs/positive_control_validation.tsv	Subset/validation summary from the same mapping framework.
S4	CDS-context reconstruction; candidate coordinate/projection derivation	outputs/candidate_projection.tsv	Generated by cleaned projection scripts.
S5	variability projection and 21-nt retention	outputs/variability_21nt_metrics.tsv	Generated by variability projection and window-retention scripts.
S6	candidate sequences	outputs/candidate_fragments.fa	Generated or copied from final candidate FASTA.
S7	direct candidate-level uniqueness	outputs/candidate_uniqueness_summary.tsv	Generated by BLASTn uniqueness recipe and classification script.
S8	host off-target screening	outputs/host_offtarget_summary.tsv	Generated from host-reference BLAST and mismatch-aware summary.
S9	outgroup screen	outputs/outgroup_screening.tsv	Generated from public assembly/outgroup screening summaries.
S10	expanded mismatch-aware host screen	outputs/mismatch_aware_host_screen.tsv	Generated by mismatch-aware k-mer screen.
